hochdeutsch,bischemerisch
Christmette,Grisdmede
Christoffel,Schdofl
Clown,Klaun
Computer,Kombuter
Cousin,Doud
Cousine,Boas
crataegus area,Schbaierling
d,wann
d,wenn
da,do
da,doo
da,o
da das,s
da davon,doodevoo
da drinnen,drin
da fehlt es ihm nicht,em
da hat er einen,-rn
da hat er einen fetten Floh,-rn fätze Floh
da hinten,doohinne
da ist das,-ess
Da schneidest du ihn,Do schneidst'n oa
Da schneidest du ihn an,Do schneidst'n oa
da unten,drunne
dabei,d'rbei
dabei,dabbid
dabei,debei
dabei,derbai
dabei,drbei
Dach,Daach
Dach,Doach
Dachboden,Boude
Dachrinne,Kendel
Dachrinne für Regenwasser,Kendel
Dachs,Dogs
Dachsbau,Dachsebau
Dachse,Degs
dadrum,doodrümm
dadrüben,d
dadrüben,r
dadrüben,üwwe
dafür,derfoar
dafür,doofür
dafür,drfoor
dagegen,degeeche
daheim,am
daheim,d'haam
daheim,d'haom
daheim,deh
daheim,dehoam
daheim,dham
daheim,o
daheim,tam
dahin,dehie
dahin,doohie
damals,doomools
Dampf,Dompf
dampft,dampfd
Dampftriebwagen,Kennjum
danach,dernoch
danach,dernoo
danach,hernooch
daneben,dernewe
daneben,dernääwe
daneben,drnääwe
daneben,nääwe
daneben,punm
Dank,Do
Dank,Doonk
Dank,nk
Dank,o
Dankbarkeit,Dankboarkeit
danken,dange
danken,danke
danken,doonke
dann,dann
dann,doann
dann,no
daran,dro
daran,droo
daran,droon
daran,n
darauf,druf
darauf,druff
darauf,f
darauf gepfiffen,druffgepfiffe
daraus,draus
daraus,s
darf,däff
darf,däfft
darf,därff
darf er,därff'r
darfst,defst
darfst,däffst
darin,drin
darin,n
Darmwinde,Förz
darum,do
darum,dodrüm
darum,dorüm
darum,drum
darum,drumm
darum,drüm
darum,m
darum,o
darunter,drunn
darunter,drunner
darüber,dryywer
darüber,drü
darüber,drüwwer
darüber,drüüwer
darüber,u
das,des
das,dess
das,däss
das,es
das,ess
das,s
das  Rädchen,ess Rädle kärrd
das beim Huppen machen gesungen wurde,Hubbeliedle
das Beste,best
das einem so gut wie das,s
das Fleisch ist restlos verzehrt,s Flaasch is al
das Gericht muss herbei,ess Gricht muss bei
das Haus,es
das Haus,es Haus
das Haus,s Haus
das ich noch,dass iech no schnell in d'Käärch nej konn
das leichteste Mädchen,s laichst Madle
das Vorder,Lenkwit
das zwölfte Mal,zwölfdmool
dass,as
dass du,d
dass du es ihm nur sagst,m nor sejchst
dass er,r
dass er ja das Haus des Doktors,s Dokdershaus
dass es,dass's
dass Gott ihn diesesmal,n dessmool no derett
dass man es besser machen kann,as mrs bessr moache koa
Daumen,Daume
David,Dofit
David,Doufet
davon,defu
davon,devoo
davon,devoon
davon,drvoo
davon,n
davon,rvoo
davor,devor
davor,drvor
davor,rvor
dazu,d'rzu
dazu,d'zu
dazu,dezu
dazu,drzu
dazu,rzu
dazulegen,expliziire
Decke,Deck
Decke,Dek
Deckel,Deggel
dehnen,dehne
dehnen,dene
Deichsel,Daigsl
Deichsel,Daixl
dein,dai
dein,dei
dein,dej
dein,dejn
deinem,dejm
deinen,dain
deiner,dejnerer
deiner,dejnrer
dem,demm
dem,em
dem,emm
dem,m
dem glaube ich es gleich,iss glei
demm,ann
demm Straach,an dem
demm Straach,fraabt sich ann
den,'n
den,de
den,denn
